Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla
2019-01-02 00:00:00+00:00,37.75008392,76.95649719,52.16439438,95.50130463,20.67466736,39.47999954,76.95649719,52.29249954,101.1200027,20.67466736,39.71250153,77.66799927,52.61600113,101.75,21.00866699,38.55749893,73.04650116,50.78549957,98.94000244,19.92000008,38.72249985,73.26000214,50.82849884,99.55000305,20.40666771,148158800,159662000,30652000,35329300,174879000
2019-01-03 00:00:00+00:00,33.98989868,75.01399994,50.67854309,91.98801422,20.02400017,35.54750061,75.01399994,50.8030014,97.40000153,20.02400017,36.43000031,76.90000153,52.84899902,100.1900024,20.62666702,35.5,74.85549927,50.70349884,97.19999695,19.82533264,35.99499893,76.00050354,52.04999924,100.0999985,20.46666718,365248800,139512000,36822000,42579100,104478000
2019-01-04 00:00:00+00:00,35.44090271,78.76950073,53.40434647,96.26630402,21.17933273,37.06499863,78.76950073,53.53549957,101.9300003,21.17933273,37.13750076,79.69999695,53.54199982,102.5100021,21.20000076,35.95000076,75.91549683,51.3708992,98.93000031,20.18199921,36.13249969,76.5,51.62950134,99.72000122,20.39999962,234428400,183652000,41878000,44060600,110911500
2019-01-07 00:00:00+00:00,35.36201096,81.47550201,53.28863144,96.38910675,22.3306675,36.98249817,81.47550201,53.41949844,102.0599976,22.3306675,37.20750046,81.72799683,53.70000076,103.2699966,22.44933319,36.47499847,79.45950317,52.73799896,100.9800034,21.18333244,37.17499924,80.1155014,53.57500076,101.6399994,21.44799995,219111200,159864000,39638000,35656100,113268000
2019-01-08 00:00:00+00:00,36.03612518,82.82900238,53.68216324,97.08796692,22.35666656,37.6875,82.82900238,53.81399918,102.8000031,22.35666656,37.95500183,83.83049774,54.22800064,103.9700012,22.93400002,37.13000107,80.83049774,53.0265007,101.7099991,21.80133247,37.38999939,83.23449707,53.80550003,103.0400009,22.79733276,164101200,177628000,35298000,31514400,105127500
2019-01-09 00:00:00+00:00,36.64808655,82.97100067,53.60136414,98.47628784,22.56866646,38.32749939,82.97100067,53.73300171,104.2699966,22.56866646,38.63249969,83.38999939,54.13150024,104.8799973,22.89999962,37.40750122,82.06999969,53.31999969,103.2399979,22.09799957,37.82249832,82.64900208,54.08250046,103.8600006,22.36666679,180396400,126976000,23986000,32280800,81493500
2019-01-10 00:00:00+00:00,36.76522064,82.81099701,53.38539505,97.84352875,22.99799919,38.45000076,82.81099701,53.51649857,103.5999985,22.99799919,38.49250031,83.16249847,53.55749893,103.75,23.02599907,37.71500015,81.08100128,52.88550186,102.3799973,22.11933327,38.125,82.05049896,53.38299942,103.2200012,22.29333305,143122800,130154000,29128000,30067600,90846000
2019-01-11 00:00:00+00:00,36.40425873,82.02799988,52.73000336,97.08796692,23.15066719,38.07249832,82.02799988,52.85950089,102.8000031,23.15066719,38.42499924,83.01450348,53.18875122,103.4400024,23.22733307,37.87749863,81.81099701,52.42399979,101.6399994,22.58466721,38.22000122,82.02749634,53.1590004,103.1900024,22.80599976,108092800,93724000,30416000,28314200,75586500
2019-01-14 00:00:00+00:00,35.85683823,80.86049652,52.10653687,96.37966156,22.29333305,37.5,80.86049652,52.23450089,102.0500031,22.29333305,37.81750107,82.41000366,52.57649994,102.8700027,22.83333206,37.30500031,79.75749969,52.06275177,101.2600021,22.26666641,37.71250153,80.75,52.34600067,101.9000015,22.82533264,129756800,120118000,22886000,28437100,78709500
2019-01-15 00:00:00+00:00,36.5907135,83.72799683,53.72555542,99.17518616,22.96199989,38.26750183,83.72799683,53.85749817,105.0100021,22.96199989,38.34749985,83.75800323,54.00249863,105.0500031,23.25333214,37.51250076,81.30049896,52.36700058,101.8799973,22.29999924,37.56750107,81.59999847,52.50849915,102.5100021,22.33333206,114843600,119970000,29272000,31587600,90849000
2019-01-16 00:00:00+00:00,37.03773117,84.18900299,53.91609192,99.52461243,23.06999969,38.73500061,84.18900299,54.04850006,105.3799973,23.06999969,38.97000122,85.25,54.61875153,106.2600021,23.46666718,38.25,83.79399872,53.96699905,104.9599991,22.89999962,38.27000046,84.21099854,54,105.2600021,22.98533249,122278800,127338000,26636000,29853900,70375500
2019-01-17 00:00:00+00:00,37.2576561,84.66100311,54.36149979,100.2235031,23.15399933,38.96500015,84.66100311,54.49499893,106.1200027,23.15399933,39.41500092,85.00849915,54.59000015,106.6299973,23.43333244,38.31499863,83.875,53.67499924,104.7600021,22.94333267,38.54999924,84,53.9734993,105,23.0806675,119284800,84178000,24854000,28393000,55150500
2019-01-18 00:00:00+00:00,37.48713684,84.80999756,54.7784729,101.7251358,20.15066719,39.20500183,84.80999756,54.9129982,107.7099991,20.15066719,39.47000122,85.80999756,55.41759872,107.9000015,21.80866623,38.99499893,84.57700348,54.54499817,105.9100037,19.98200035,39.375,85.59999847,55,107.4599991,21.53333282,135004000,120410000,39112000,37427600,362262000
2019-01-22 00:00:00+00:00,36.64569473,81.60849762,53.39487457,99.80795288,19.9279995,38.32500076,81.60849762,53.52600098,105.6800003,19.9279995,39.18249893,84.09349823,54.57550049,107.0999985,20.53333282,38.15499878,80.51000214,53.17350006,104.8600006,19.70000076,39.10250092,84.05000305,54.40000153,106.75,20.32133293,121576000,128336000,32270000,32371300,181000500
2019-01-23 00:00:00+00:00,36.79390335,82.00099945,53.64675522,100.7807083,19.17266655,38.47999954,82.00099945,53.7784996,106.7099991,19.17266655,38.78499985,82.87149811,54.24649811,107.0400009,19.63333321,37.92499924,80.59999847,52.98749924,105.3399963,18.77933311,38.53749847,82.80000305,53.86750031,106.1200027,19.5,92522400,104504000,19340000,25874300,187950000
2019-01-24 00:00:00+00:00,36.5022583,82.74649811,53.56345749,100.2990417,19.43400002,38.17499924,82.74649811,53.69499969,106.1999969,19.43400002,38.61999893,82.86299896,53.97375107,107,19.57866669,37.93500137,81.58899689,53.03499985,105.3399963,18.6186676,38.52750015,82.05349731,53.82400131,106.8600006,18.8686676,101766000,81798000,27226000,23164800,120183000
2019-01-25 00:00:00+00:00,37.71183777,83.52850342,54.41586304,101.2151718,19.80266762,39.43999863,83.52850342,54.54949951,107.1699982,19.80266762,39.53250122,84.1740036,54.70000076,107.8799973,19.90133286,38.58000183,83.08049774,54.0909996,106.1999969,19.30333328,38.86999893,83.52500153,54.25,107.2399979,19.62599945,134142000,98918000,22382000,31225600,108744000
2019-01-28 00:00:00+00:00,37.36283112,81.89450073,53.3729248,99.24129486,19.75866699,39.07500076,81.89450073,53.50400162,105.0800018,19.75866699,39.08250046,82.25,54.15000153,106.4800034,19.8306675,38.41500092,80.70449829,53.18999863,104.6600037,19.18333244,38.94749832,82.17949677,54.00550079,106.2600021,19.52733231,104768400,96754000,25686000,29476700,96349500
2019-01-29 00:00:00+00:00,36.97558212,79.69400024,52.90108109,97.22018433,19.8306675,38.66999817,79.69400024,53.03099823,102.9400024,19.8306675,39.53250122,81.6190033,53.75749969,104.9700012,19.90399933,38.52750015,79.53600311,52.79325104,102.1699982,19.4533329,39.0625,81.56349945,53.63399887,104.8799973,19.68466759,166348800,92656000,20436000,31490500,69325500
2019-01-30 00:00:00+00:00,39.502285,83.52149963,54.31959915,100.4690399,20.58466721,41.3125,83.52149963,54.45299911,106.3799973,20.58466721,41.53749847,83.84750366,54.54999924,106.3799973,20.60000038,40.05749893,80.98400116,53.34249878,104.3300018,19.89933205,40.8125,81.15000153,53.42150116,104.6200027,20.03000069,244439200,115676000,25596000,49471900,168754500
2019-01-31 00:00:00+00:00,39.78676224,85.93650055,55.68175888,98.62739563,20.46800041,41.61000061,85.93650055,55.81850052,104.4300003,20.46800041,42.25,86.82050323,55.86650085,105.2200012,20.77066612,41.13999939,83.95400238,54.77050018,103.1800003,19.60000038,41.52750015,84.64250183,55.15000153,103.8000031,20.06666756,162958400,218206000,30766000,55636400,188538000
2019-02-01 00:00:00+00:00,39.8058815,81.31150055,55.40143967,97.06908417,20.81399918,41.63000107,81.31150055,55.53749847,102.7799988,20.81399918,42.24499893,83.65299988,56.25,104.0999985,21.07333374,41.48249817,81.10050201,55.24449921,102.3499985,20.23333359,41.74000168,81.94400024,55.61999893,103.7799988,20.36133385,130672400,230124000,29244000,35535700,109251000
2019-02-04 00:00:00+00:00,40.93655777,81.66549683,56.50123978,99.86461639,20.85933304,42.8125,81.66549683,56.63999939,105.7399979,20.85933304,42.91500092,82.48149872,56.63999939,105.8000031,21.02000046,41.81999969,80.67500305,55.45100021,102.7699966,20.12533379,41.85250092,81.15000153,55.63299942,102.8700027,20.86533356,125982000,98582000,51530000,31315100,110281500
2019-02-05 00:00:00+00:00,41.63695526,82.94049835,57.15912628,101.2623825,21.42333221,43.54499817,82.94049835,57.29949951,107.2200012,21.42333221,43.77000046,83.26300049,57.34249878,107.2699966,21.49600029,43.08750153,82.125,55.86240005,105.9599991,20.81666756,43.21500015,82.16699982,56.24200058,106.0599976,20.8326664,144406400,89062000,71044000,27325400,101142000
2019-02-06 00:00:00+00:00,41.65131378,82.01300049,55.624897,100.138504,21.14800072,43.56000137,82.01300049,55.76150131,106.0299988,21.14800072,43.89250183,83.61299896,57.34999847,107,21.61599922,43.21250153,81.66699982,55.63850021,105.5299988,21.04133224,43.66249847,83.53749847,56.97850037,107,21.30599976,112958400,78798000,42112000,20609800,75577500
2019-02-07 00:00:00+00:00,40.86245728,80.71849823,54.80091858,99.42072296,20.50066757,42.73500061,80.71849823,54.9355011,105.2699966,20.50066757,43.48500061,81.27700043,55.24200058,105.5899963,20.97999954,42.58499908,79.64550018,54.29999924,104.2900009,20.20000076,43.09999847,81.25,55.20800018,105.1900024,20.88666725,126966800,92532000,40896000,29760700,97809000
2019-02-08 00:00:00+00:00,40.9104805,79.41100311,54.61886597,99.79847717,20.38666725,42.60250092,79.41100311,54.75299835,105.6699982,20.38666725,42.66500092,79.42949677,54.94549942,105.7799988,20.49666786,42.10499954,78.33799744,54.32749939,104.2600021,19.89999962,42.24750137,79.30000305,54.34999847,104.3899994,20.45533371,95280000,113150000,21516000,21461100,87663000
